SampleName,SampleID,No,Model,Day,Group,Replicate
DSSd00_1,KI_PC1606_01,01,DSS,00,day00,1
DSSd00_2,KI_PC1606_02,02,DSS,00,day00,2
DSSd00_3,KI_PC1606_03,03,DSS,00,day00,3
DSSd02_1,KI_PC1606_04,04,DSS,02,day02,1
DSSd02_2,KI_PC1606_05,05,DSS,02,day02,2
DSSd02_3,KI_PC1606_06,06,DSS,02,day02,3
DSSd04_1,KI_PC1606_07,07,DSS,04,day04,1
DSSd04_2,KI_PC1606_08,08,DSS,04,day04,2
DSSd04_3,KI_PC1606_09,09,DSS,04,day04,3
DSSd06_1,KI_PC1606_10,10,DSS,06,day06,1
DSSd06_2,KI_PC1606_11,11,DSS,06,day06,2
DSSd06_3,KI_PC1606_12,12,DSS,06,day06,3
DSSd07_1,KI_PC1606_13,13,DSS,07,day07,1
DSSd07_2,KI_PC1606_14,14,DSS,07,day07,2
DSSd07_3,KI_PC1606_15,15,DSS,07,day07,3
DSSd08_1,KI_PC1606_16,16,DSS,08,day08,1
DSSd08_2,KI_PC1606_17,17,DSS,08,day08,2
DSSd08_3,KI_PC1606_18,18,DSS,08,day08,3
DSSd10_2,KI_PC1606_20,20,DSS,10,day10,2
DSSd10_3,KI_PC1606_21,21,DSS,10,day10,3
DSSd12_1,KI_PC1606_22,22,DSS,12,day12,1
DSSd12_2,KI_PC1606_23,23,DSS,12,day12,2
DSSd12_3,KI_PC1606_24,24,DSS,12,day12,3
DSSd14_1,KI_PC1606_25,25,DSS,14,day14,1
DSSd14_2,KI_PC1606_26,26,DSS,14,day14,2
DSSd14_3,KI_PC1606_27,27,DSS,14,day14,3
